id      ,date,station_id                          ,temperature_mean  ,temperature_median,temperature_min   ,temperature_max   ,rain_sum          ,humidity_mean     ,humidity_min,humidity_max,wind_speed_mean     ,rain_mean           ,rain_min,rain_max,rain_no_hours,humidity_no_hours,wind_speed_no_hours,solar_rad_std_sum,solar_rad_std_no_hours,station_id                          ,datasource,src_id  ,src_elevation,latitude,longitude,geom                                          ,distance_water,,
11088486,2023/01/01,63056440-2689-50c2-b49a-0d9066ac4b0c,27.12,28.19,17.48,35.74,0,60.50521739,23.08,99.67,1.475,0,0,0,24,23,24,9169,24,63056440-2689-50c2-b49a-0d9066ac4b0c,metos,0020F3DF,535,-33.387224,19.381352,POINT (19.381352 -33.387224),0,,
11061598,2023/01/01,23bffa1c-114e-5a26-a158-9e2809cef68c,29.23333333,27.745,24.5,36.12,0,36.12,22.24,48.3,3.0125,0,0,0,24,24,24,8644,24,23bffa1c-114e-5a26-a158-9e2809cef68c,metos,0020F838,265.9,-33.734764,19.04696,POINT (19.04696 -33.734764),0,,
11060079,2023/01/01,1eec0a7a-5853-56fd-9f67-c92d7d40f735,30.71583333,28.755,25.31,38.9,0,0,0,0,2.429166667,0,0,0,24,0,24,9906,24,1eec0a7a-5853-56fd-9f67-c92d7d40f735,metos,00208EEC,239.66,-33.63677473,19.0572135,POINT (19.057213498984876 -33.63677472922212),380,,10933
11076966,2023/01/01,47c3a51e-31a5-5a34-b6a7-b3c4420ffd73,27.84541667,28.89,20.4,35.3,0,0,0,0,1.366666667,0,0,0,24,0,24,9971,24,47c3a51e-31a5-5a34-b6a7-b3c4420ffd73,metos,0310DF6C,358.1,-34.023233,18.854243,POINT (18.854243 -34.023233),270,,
11075261,2023/01/01,439a667c-4c83-5981-8b02-33e01dbb1d89,28.01166667,28.24,20.34,34.38,0,0,0,0,6.6625,0,0,0,24,0,24,9940,24,439a667c-4c83-5981-8b02-33e01dbb1d89,metos,0120D5DD,482.6,-33.936276,18.936866,POINT (18.936866 -33.936276),100,,
11072852,2023/01/01,3ecec81c-c734-5d04-80b3-8a031ed73e6d,24.4525,23.425,16.68,34.62,0,55.59090909,29,85,4.2625,0,0,0,24,22,24,10633,24,3ecec81c-c734-5d04-80b3-8a031ed73e6d,metos,0120D5AE,236.2,-33.478996,19.178462,POINT (19.178462 -33.478996),5,,
11060681,2023/01/01,207119df-8946-5f59-bb27-548cbc8cd581,23.8125,21.525,15.34,35,0,64.94833333,28.01,93.97,0.879166667,0,0,0,24,24,24,8834,24,207119df-8946-5f59-bb27-548cbc8cd581,metos,0020FA28,136.6,-33.903692,18.73573,POINT (18.73573 -33.903692),0,,
11150025,2023/01/01,fadfbfc6-b67e-5b13-bc71-839610a24d59,25.88166667,26.51,15.7,34.1,0,56.75833333,31.56,92.78,0.39047619,0,0,0,24,24,21,7022,24,fadfbfc6-b67e-5b13-bc71-839610a24d59,metos,0020F7E7,152.2,-33.903912,18.811236,POINT (18.811236 -33.903912),0,,
11091028,2023/01/01,6a1a6a0f-d34b-5e74-80ad-7aeb4fa721fe,24.11041667,22.765,16.4,34.91,0,59.7,33,84,2.245833333,0,0,0,24,20,24,10446,24,6a1a6a0f-d34b-5e74-80ad-7aeb4fa721fe,metos,0120D5A1,231.8,-33.531332,19.229656,POINT (19.229656 -33.531332),300,,
11149319,2023/01/01,f8b66203-aaf2-5b79-ad3e-c51ff60d5196,24.70791667,23.22,14.61,36.03,0,55.6826087,22.76,91.74,1.364705882,0,0,0,24,23,17,9437,24,f8b66203-aaf2-5b79-ad3e-c51ff60d5196,metos,0000A18F,167.15,-33.8588167,18.8186869,POINT (18.8186869 -33.8588167),0,,
11104359,2023/01/01,89b54a7e-6e3e-5a44-bfb2-4c72a2b50ee5,27.3225,26.62,19.33,36.45,0,45.53333333,28.48,63.23,0.504166667,0,0,0,24,24,24,9463,24,89b54a7e-6e3e-5a44-bfb2-4c72a2b50ee5,metos,0020F29F,323.9,-34.013096,18.87002,POINT (18.87002 -34.013096),0,,
11101249,2023/01/01,83bbb7ae-c969-5f76-aa00-5f48cb6fe3a9,30.14247699,30.08,22.12,38.9,0,32.22222222,16,48,1.354166667,0,0,0,24,18,24,8564,24,83bbb7ae-c969-5f76-aa00-5f48cb6fe3a9,metos,0120D5B3,158.7,-33.60132,18.858044,POINT (18.858044 -33.60132),290,,
11109614,2023/01/01,9747ee1a-10a2-5a4a-aaf3-d5cffdbeb2a8,28.49791667,27.37,19.69,36.09,0,0,0,0,1.0375,0,0,0,24,0,24,8887,24,9747ee1a-10a2-5a4a-aaf3-d5cffdbeb2a8,metos,0120D59D,163.2,-33.934784,18.903558,POINT (18.903558 -33.934784),20,,
11084352,2023/01/01,58ed0b81-f0a3-5915-9831-055c1e6735ae,26.55333333,26.855,15.93,36.59,0,53.61111111,30,80,0.914285714,0,0,0,24,18,21,9836,24,58ed0b81-f0a3-5915-9831-055c1e6735ae,metos,0120D5A2,136,-33.969048,18.829176,POINT (18.829176 -33.969048),310,,
11077104,2023/01/01,48349069-f811-515b-9629-3c8471cb3a8a,24.78041667,22.77,18.6,34.24,0,54.23333333,32.1,70.3,2.325,0,0,0,24,24,24,7605,24,48349069-f811-515b-9629-3c8471cb3a8a,metos,0310DF54,270,-33.910263,19.102215,POINT (19.102215 -33.910263),100,,
11118729,2023/01/01,ae50a68a-e161-5b72-9083-47a86aff0cfb,27.39791667,27.3,19.67,35.46,0,50.5326087,31.34,84.81,0.6,0,0,0,24,23,17,8352,24,ae50a68a-e161-5b72-9083-47a86aff0cfb,metos,0020F405,305.9,-34.008652,18.891978,POINT (18.891978 -34.008652),0,,
11082696,2023/01/01,5317c806-ca87-5329-a8bc-8336a1d94366,22.72208333,22.225,16.66,28.74,0,44.69791667,30.15,61.84,3.570833333,0,0,0,24,24,24,9200,24,5317c806-ca87-5329-a8bc-8336a1d94366,metos,0000A1E2,1222.48,-33.37559595,19.25304332,POINT (19.253043319702137 -33.3755959510696),0,,
11064484,2023/01/01,28c74ee6-172c-5eea-94a8-6b6d86b948a3,25.52833333,25.69,17.3,32.35,0,56.1175,36.6,86.02,0.708333333,0,0,0,24,24,24,9033,24,28c74ee6-172c-5eea-94a8-6b6d86b948a3,metos,0020F4D5,246.8,-33.92452,18.790424,POINT (18.790424 -33.92452),0,,
11108136,2023/01/01,93b185d0-bc96-5949-a8fe-3a9656067930,27.38916667,27.2,19.39,33.4,0,37.45666667,19.57,53.38,1.483333333,0,0,0,24,24,24,8543,24,93b185d0-bc96-5949-a8fe-3a9656067930,metos,0020F840,444.1,-33.902212,18.923728,POINT (18.923728 -33.902212),0,,
11146154,2023/01/01,f2b99fe6-9b57-56d6-aef3-fc1000ab104b,24.96208333,24.275,17.05,32.77,0,66.52130435,44.59,100,1.038095238,0,0,0,24,23,21,8626,24,f2b99fe6-9b57-56d6-aef3-fc1000ab104b,metos,0020F295,220.5,-33.956004,18.731072,POINT (18.731072 -33.956004),0,,
11106554,2023/01/01,8e829ae2-11e1-5457-98ae-c4475876cd2c,23.89666667,23.355,15.08,34.84,0,72.66125,31.35,99.93,1.114285714,0,0,0,24,24,21,8944,24,8e829ae2-11e1-5457-98ae-c4475876cd2c,metos,0020F397,279.4,-33.852444,19.370588,POINT (19.370588 -33.852444),0,,
11069775,2023/01/01,341b89ba-e3a7-51e0-815f-dab9e1dced33,30.10625,29.67,19.29,38.95,0,34.56166667,16.11,65.32,1.270833333,0,0,0,24,24,24,8464,24,341b89ba-e3a7-51e0-815f-dab9e1dced33,metos,0020EE98,318.6,-33.377092,18.836256,POINT (18.836256 -33.377092),0,,
11069359,2023/01/01,3357d0a1-5911-5ba6-bbd4-91a246c6bce8,26.50541667,28.115,15.79,34.34,0,50.1875,28,70,0,0,0,0,24,16,24,10166,24,3357d0a1-5911-5ba6-bbd4-91a246c6bce8,metos,0120D59A,178.2,-33.88498,18.85128,POINT (18.85128 -33.88498),75,,
11073783,2023/01/01,406da46a-c698-50b9-9c8f-42f15e79f7a8,30.93309,29.52,24.44,37.75,0,0,0,0,2.945833333,0,0,0,24,0,24,8746,24,406da46a-c698-50b9-9c8f-42f15e79f7a8,metos,0020EE85,163.7,-33.624208,19.036232,POINT (19.036232 -33.624208),0,,
11083101,2023/01/01,546925ed-ea39-53b2-a3dd-6825fbbb668c,27.23416667,26.32,16.15,34.67,0,47.79636364,27.78,75.74,0.414285714,0,0,0,24,22,21,8646,24,546925ed-ea39-53b2-a3dd-6825fbbb668c,metos,0020F4AE,500.9,-33.875788,18.899676,POINT (18.899676 -33.875788),0,,
11083661,2023/01/01,55f2ae85-8f4e-5e57-a403-f6b752b43eae,23.07416667,23.31,13.1,33.13,0,68.39956522,40.11,100,1.504166667,0,0,0,24,23,24,5952,24,55f2ae85-8f4e-5e57-a403-f6b752b43eae,metos,0000057D,494.16,-33.704333,19.332136,POINT (19.332136 -33.704333),0,,
11091277,2023/01/01,6a434fd3-2248-5726-8da0-a2467667aec8,29.91875,29.345,23.32,37.41,0,33.55555556,21,45,1.861111111,0,0,0,24,18,18,9475,24,6a434fd3-2248-5726-8da0-a2467667aec8,metos,0120D5D4,130.1,-33.695572,18.952162,POINT (18.952162 -33.695572),250,,
11060585,2023/01/01,2052e304-ed3a-51e1-ba27-cda6a8f195be,27.07875,28.655,20.72,32.39,0,0,0,0,6.558333333,0,0,0,24,0,24,9452,24,2052e304-ed3a-51e1-ba27-cda6a8f195be,metos,0310DF67,319.5,-33.933608,18.749158,POINT (18.749158 -33.933608),720,,
11059407,2023/01/01,1dc437ca-5868-51c7-9530-e0d6bafad538,23.08083333,21.34,15.88,34.01,0,65.80625,33.43,90.32,1.828571429,0,0,0,24,24,21,7876,24,1dc437ca-5868-51c7-9530-e0d6bafad538,metos,0020EEB9,386,-33.591832,19.3682,POINT (19.3682 -33.591832),0,,
11111970,2023/01/01,9d2cf417-8153-5078-b769-8e99c883cac5,25.84625,25.675,15.44,35.89,0,53.85583333,27.1,84.31,1.268181818,0,0,0,24,24,22,0,0,9d2cf417-8153-5078-b769-8e99c883cac5,metos,0020F842,176.1,-33.9969,18.864548,POINT (18.864548 -33.9969),0,,
11106761,2023/01/01,8ec6067d-b248-55b1-a4fa-8464c730428c,30.81875,30.25,20.61,40.23,0,35.01416667,17.47,56.29,0,0,0,0,24,24,0,0,0,8ec6067d-b248-55b1-a4fa-8464c730428c,metos,07D0F3F5,177.8,-33.386575,18.887651,POINT (18.887651 -33.386575),0,,
11055118,2023/01/01,126aac6c-afa7-58bb-a041-f91fdd822420,29.10916667,28.675,21.57,37.68,0,34.79166667,16.8,53,1.0125,0,0,0,24,24,24,9134,24,126aac6c-afa7-58bb-a041-f91fdd822420,metos,0310DF69,278.8,-33.57056,18.766668,POINT (18.766668 -33.57056),85,,
11095275,2023/01/01,74fb653a-df98-568a-8d10-6cbb7a60aeef,23.83833333,23.27,15.16,34.09,0,64.30954545,34.75,98.69,1.528571429,0,0,0,24,22,21,9985,24,74fb653a-df98-568a-8d10-6cbb7a60aeef,metos,209044,216.17,-33.66919229,19.30439689,POINT (19.304396893501 -33.669192294582),0,,
11145458,2023/01/01,f1e4a5f0-f6f3-5191-baff-ce43174e7b20,23.1975,22.82,12.13,34.41,0,63.92347826,33.05,97.88,1.195833333,0,0,0,24,23,24,9151,24,f1e4a5f0-f6f3-5191-baff-ce43174e7b20,metos,00208EF0,273.38,-33.6388749,19.22345587,POINT (19.22345587205882 -33.63887489557904),570,,
11143017,2023/01/01,ece4a009-02b7-51d1-bdcc-5fc34ff9a79d,27.94291667,26.05,21.73,36.42,0,41.37458333,24.97,59.16,1.9,0,0,0,24,24,23,8987,24,ece4a009-02b7-51d1-bdcc-5fc34ff9a79d,metos,0020F843,197.8,-33.815288,18.890536,POINT (18.890536 -33.815288),0,,
11136761,2023/01/01,de1cbd84-7077-5b8e-abe8-00839309cc87,26.69333333,26.19,21.52,33,0,41.9,18.52,99.3,5.554166667,0,0,0,24,19,24,8826,24,de1cbd84-7077-5b8e-abe8-00839309cc87,metos,0020F4D1,701.5,-33.643448,19.110226,POINT (19.110226 -33.643448),0,,
11110356,2023/01/01,99f5d4cf-cfac-5dce-a114-bffa2f97fe6b,30.49666667,29.335,22.59,40.65,0,37.45454545,20,50,0.855555556,0,0,0,24,22,18,3360,24,99f5d4cf-cfac-5dce-a114-bffa2f97fe6b,metos,0120B1D3,127.3,-33.69929,18.951556,POINT (18.951556 -33.69929),240,,
11090346,2023/01/01,68eeca0a-c532-5c1f-bc0d-eb6e64b38b53,24.27291667,24.25,14.95,34.5,0,58.95454545,0,95,1.929166667,0,0,0,24,22,24,10360,24,68eeca0a-c532-5c1f-bc0d-eb6e64b38b53,metos,0120D598,77.2,-33.699484,19.27756,POINT (19.27756 -33.699484),555,,
11121798,2023/01/01,b8102882-2e10-5c7e-99e8-f4a6e88e3e8c,27.93625,28.775,16.81,38.17,0,41.76375,17.49,70.34,0,0,0,0,24,24,0,0,0,b8102882-2e10-5c7e-99e8-f4a6e88e3e8c,metos,00203F51,139.7,-33.78788886,18.98841469,POINT (18.988414687866218 -33.787888856558276),0,,
11058301,2023/01/01,1c3e49eb-fa07-588b-8cca-c980c2dfef68,27.45375,25.225,20.61,35.92,0,40.81458333,27.2,64.95,2.883333333,0,0,0,24,24,24,8652,24,1c3e49eb-fa07-588b-8cca-c980c2dfef68,metos,0020F839,245.5,-33.948488,18.908912,POINT (18.908912 -33.948488),0,,
11059941,2023/01/01,1ebf5c1e-9843-51a0-9004-bf4a8213be41,22.18875,19.63,15.17,32.96,0,65.98625,35.13,88.46,0.05,0,0,0,24,24,24,0,0,1ebf5c1e-9843-51a0-9004-bf4a8213be41,metos,00203F45,350.96,-34.04484953,19.09532198,POINT (19.095321980659488 -34.04484952533755),355,,
11089258,2023/01/01,6526321d-332c-5201-9a79-d3d697528c32,26.58916667,24.725,19.4,36.26,0,49,28,66,1.720833333,0,0,0,24,20,24,10082,24,6526321d-332c-5201-9a79-d3d697528c32,metos,0120D5B2,188.8,-33.88094,19.05081,POINT (19.05081 -33.88094),545,,
11091029,2023/01/02,6a1a6a0f-d34b-5e74-80ad-7aeb4fa721fe,26.18170269,25.085,18.95,38.06,0,54.15,25,81,2.161904762,0,0,0,24,20,21,10198,24,6a1a6a0f-d34b-5e74-80ad-7aeb4fa721fe,metos,0120D5A1,231.8,-33.531332,19.229656,POINT (19.229656 -33.531332),300,,
11110357,2023/01/02,99f5d4cf-cfac-5dce-a114-bffa2f97fe6b,30.96708333,29.93,21.08,40.83,0,39.625,24,68,0.458333333,0,0,0,24,16,24,3426,24,99f5d4cf-cfac-5dce-a114-bffa2f97fe6b,metos,0120B1D3,127.3,-33.69929,18.951556,POINT (18.951556 -33.69929),240,,
11121799,2023/01/02,b8102882-2e10-5c7e-99e8-f4a6e88e3e8c,29.49416667,30.015,19.75,38.33,0,43.06083333,21.32,67.59,0,0,0,0,24,24,0,0,0,b8102882-2e10-5c7e-99e8-f4a6e88e3e8c,metos,00203F51,139.7,-33.78788886,18.98841469,POINT (18.988414687866218 -33.787888856558276),0,,
11069776,2023/01/02,341b89ba-e3a7-51e0-815f-dab9e1dced33,29.08791667,28.14,20.5,36.94,0,42.45652174,23.7,76.89,0.99047619,0,0,0,24,23,21,8439,24,341b89ba-e3a7-51e0-815f-dab9e1dced33,metos,0020EE98,318.6,-33.377092,18.836256,POINT (18.836256 -33.377092),0,,
11091278,2023/01/02,6a434fd3-2248-5726-8da0-a2467667aec8,30.88541667,29.93,25.04,37.37,0,39.05,25,63,1.423529412,0,0,0,24,20,17,9346,24,6a434fd3-2248-5726-8da0-a2467667aec8,metos,0120D5D4,130.1,-33.695572,18.952162,POINT (18.952162 -33.695572),250,,
11145459,2023/01/02,f1e4a5f0-f6f3-5191-baff-ce43174e7b20,25.70083333,24.315,16.73,36.22,0,61.25833333,33.02,89.37,0.9,0,0,0,24,24,24,8938,24,f1e4a5f0-f6f3-5191-baff-ce43174e7b20,metos,00208EF0,273.38,-33.6388749,19.22345587,POINT (19.22345587205882 -33.63887489557904),570,,
11090347,2023/01/02,68eeca0a-c532-5c1f-bc0d-eb6e64b38b53,26.00583333,26.47,16.73,35.62,0,58.54545455,0,91,1.408333333,0,0,0,24,22,24,10212,24,68eeca0a-c532-5c1f-bc0d-eb6e64b38b53,metos,0120D598,77.2,-33.699484,19.27756,POINT (19.27756 -33.699484),555,,
11088487,2023/01/02,63056440-2689-50c2-b49a-0d9066ac4b0c,27.53833333,27.465,19.83,34.17,0,65.93217391,32.96,99.66,1.775,0,0,0,24,23,24,9121,24,63056440-2689-50c2-b49a-0d9066ac4b0c,metos,0020F3DF,535,-33.387224,19.381352,POINT (19.381352 -33.387224),0,,
11089259,2023/01/02,6526321d-332c-5201-9a79-d3d697528c32,28.73666667,27.725,21.58,37.76,0,48.31818182,26,80,1.2125,0,0,0,24,22,24,10017,24,6526321d-332c-5201-9a79-d3d697528c32,metos,0120D5B2,188.8,-33.88094,19.05081,POINT (19.05081 -33.88094),545,,
11106762,2023/01/02,8ec6067d-b248-55b1-a4fa-8464c730428c,30.43791667,29.23,22.33,38.41,0.4,40.36541667,22.62,68.44,0,0.016666667,0,0.4,24,24,0,0,0,8ec6067d-b248-55b1-a4fa-8464c730428c,metos,07D0F3F5,177.8,-33.386575,18.887651,POINT (18.887651 -33.386575),0,,
11055119,2023/01/02,126aac6c-afa7-58bb-a041-f91fdd822420,28.7875,27.1,22.97,36.77,0,39.09166667,23.5,57.4,0.414285714,0,0,0,24,24,21,6791,22,126aac6c-afa7-58bb-a041-f91fdd822420,metos,0310DF69,278.8,-33.57056,18.766668,POINT (18.766668 -33.57056),85,,
11058302,2023/01/02,1c3e49eb-fa07-588b-8cca-c980c2dfef68,27.70875,25.995,21.01,34.88,0,49.12652174,34.4,78.8,2.145833333,0,0,0,24,23,24,8498,24,1c3e49eb-fa07-588b-8cca-c980c2dfef68,metos,0020F839,245.5,-33.948488,18.908912,POINT (18.908912 -33.948488),0,,
11059942,2023/01/02,1ebf5c1e-9843-51a0-9004-bf4a8213be41,24.26033865,22.79107464,17.62,33.50607681,0,73.39538462,48.05,83.78,0,0,0,0,13,13,13,0,0,1ebf5c1e-9843-51a0-9004-bf4a8213be41,metos,00203F45,350.96,-34.04484953,19.09532198,POINT (19.095321980659488 -34.04484952533755),355,,
